Year,Winner,DowJonesSimpleReturn,DowJonesUpDown,DowJonesCorrect
1967,National,0.151993789,Up,correct
1968,National,0.042690944,Up,correct
1969,American,-0.151936424,Down,correct
1970,American,0.04817832,Up,wrong
1971,American,0.06112621,Up,wrong
1972,National,0.145832397,Up,correct
1973,American,-0.165839885,Down,correct
1974,American,-0.275744541,Down,correct
1975,American,0.383243541,Up,wrong
1976,American,0.1785995,Up,wrong
1977,American,-0.172677052,Down,correct
1978,National,-0.031473706,Down,wrong
1979,American,0.041900101,Up,wrong
1980,American,0.14933114,Up,wrong
1981,American,-0.092314236,Down,correct
1982,National,0.196045714,Up,correct
1983,National,0.202667839,Up,correct
1984,American,-0.037397508,Down,correct
1985,National,0.276583276,Up,correct
1986,National,0.2258271,Up,correct
1987,National,0.02261663,Up,correct
1988,National,0.118494143,Up,correct
1989,National,0.269592404,Up,correct
1990,National,-0.043418567,Down,wrong
1991,National,0.203203906,Up,correct
1992,National,0.041744114,Up,correct
1993,National,0.137220511,Up,correct
1994,National,0.021403323,Up,correct
1995,National,0.334515601,Up,correct
1996,National,0.260136561,Up,correct
1997,National,0.226414217,Up,correct
1998,American,0.160993899,Up,wrong
1999,American,0.252214524,Up,wrong
2000,National,-0.061678925,Down,wrong
2001,National,-0.071043818,Down,wrong
2002,American,-0.167632417,Down,correct
2003,National,0.253222691,Up,correct
2004,American,0.031480057,Up,wrong
2005,American,-0.006075298,Down,correct
2006,American,0.16287847,Up,wrong
2007,American,0.064323225,Up,wrong
2008,National,-0.338370969,Down,wrong
2009,American,0.188193551,Up,wrong
2010,National,0.110227703,Up,correct
2011,National,0.055283908,Up,correct
2012,National,0.07,Up,correct
2013,American,0.26,Up,wrong
2014,National,0.08,Up,correct
2015,American,-0.02,Down,correct
2016,American,0.13,Up,wrong
2017,American,0.25,Up,wrong
2018,National,-0.06,Down,wrong
